orderId,productId,userId,quantity,totalAmount
1,101,user1@mail.com,2,20.00
1,102,user1@mail.com,1,15.00
2,201,user2@mail.com,3,45.00
3,301,user3@mail.com,1,12.50
4,401,user4@mail.com,2,30.00
4,402,user4@mail.com,1,22.50
5,501,user5@mail.com,4,60.00
6,601,user6@mail.com,2,25.00
7,701,user7@mail.com,1,8.50
8,801,user8@mail.com,3,42.50
9,901,user9@mail.com,2,27.00
9,902,user9@mail.com,1,21.00
10,101,user10@mail.com,3,45.00
11,201,user11@mail.com,1,12.50
12,301,user12@mail.com,2,30.00
13,401,user13@mail.com,1,15.00
14,501,user14@mail.com,2,30.00
14,502,user14@mail.com,1,22.50
15,601,user15@mail.com,4,52.00
16,701,user16@mail.com,3,35.00
17,801,user17@mail.com,1,10.50
18,901,user18@mail.com,2,25.00
19,902,user19@mail.com,1,15.00
20,101,user20@mail.com,3,45.00
21,201,user21@mail.com,2,25.00
22,301,user22@mail.com,1,12.50
23,401,user23@mail.com,2,30.00
24,501,user24@mail.com,1,15.00
25,502,user25@mail.com,4,60.00
26,601,user26@mail.com,1,10.50
27,701,user27@mail.com,2,30.00
28,801,user28@mail.com,1,22.50
29,901,user29@mail.com,3,37.50
30,902,user30@mail.com,2,25.00
